moisture,temperature,humidity,rain_probability,light_intensity,crop_type,irrigation_on,water_volume
39.963209507789,26.809065608323262,46.15485729266889,49.96702437290534,73269.83278800707,1,0.0,0.0
86.05714451279329,29.20306978125064,43.303846736198224,74.67467725125942,19266.687564272444,1,0.0,0.0
68.5595153449124,40.636421796065406,32.33077387520021,56.266678065633315,35317.329742618735,0,0.0,0.0
57.89267873576293,25.200131581796764,62.50866690710416,8.330258311179639,66664.783048924,2,1.0,1.5736737902982125
22.48149123539492,41.08949054436514,53.36369123560402,18.55802367835554,48726.84510792352,2,1.0,20.868203436739055
22.479561626896214,17.644032929300746,80.59906946268026,21.932818403091915,74118.53282485448,2,1.0,18.760219186551893
14.646688973455957,38.303953116258924,22.24767063374408,25.78642536448449,96159.58222106312,2,1.0,24.507050824897913
79.29409166199481,40.42642899164209,65.07075492885885,56.54033919505043,12538.122083804552,0,0.0,0.0
58.0892009394567,20.454529585120163,73.40642149580927,50.39657798253935,71247.20392340803,0,0.0,0.0
66.64580622368364,27.91039597116601,73.16405984318149,20.316003836420894,23804.071407579337,0,0.0,0.0
11.646759543664196,19.964993239909667,82.02517769668675,6.755484345568707,42033.196013349356,1,1.0,14.176620228167902
87.59278817295954,36.19812386982653,71.03236199806459,17.14322044747181,4253.409853718842,1,0.0,0.0
76.59541126403374,31.060433041849702,84.94670431533874,98.43813126186033,14454.830846977195,1,0.0,0.0
26.987128854262092,34.05970040124963,43.2859619874624,46.854694979147226,32657.95161584107,0,0.0,0.0
24.54599737656805,20.894609008686334,55.224659172608014,86.73455047021125,34856.59472351051,1,1.0,7.816462212584609
24.672360788274705,21.352375861572586,20.985576429802347,84.87524666688432,90058.93642974748,2,1.0,17.79905719201991
34.33937943676302,16.24491976529719,20.487031111230387,51.15195574628737,74439.478017385,1,0.0,0.0
51.98051453057903,24.66202605587189,36.8088634316064,70.66877084605436,97246.11385051707,0,0.0,0.0
44.55560149136926,31.79233984001025,27.056503799735967,19.275201041271227,60308.07952318881,0,0.0,0.0
33.298331215843355,40.738047419919866,38.21479575550275,68.83967049269083,24929.659477040477,0,0.0,0.0
58.94823157779036,35.00782342376042,32.393030616987815,27.23845792632895,33437.84796224264,0,0.0,0.0
21.15950885216335,28.06188970199254,21.996401738705377,83.20620967541508,32663.75640590474,2,1.0,20.22643454411758
33.37157188281745,43.593603431824135,83.65129024842346,8.372413310890991,33322.938438661906,1,1.0,5.673574401773689
